cep,logradouro,bairro
03020020,Rua Dona Joaquina Francisca de Paiva,Catumbi
03436000,Rua Francisca de Paula,Vila Carrão
03510020,Rua Sebastião de Andrade,Vila Matilde
88111520,Rua Bom Pastor,Ipiranga
03590190,Rua Padre Cristóvão Cordeiro,Conjunto Habitacional Padre Manoel da Nóbrega
01431010,Rua Luís Machado Pedrosa,Jardins
03415000,Rua Antúrios,Jardim Textil
04359090,Rua Laércio Neves,Parque Jabaquara
04458090,Rua Francisco Ianni,Jardim Ubirajara (Zona Sul)
02996060,Rua Cecil Sharp,Parque Nações Unidas
05782420,Rua Isidoro Giuzio,Parque Munhoz
04802140,Rua Varsóvia,Interlagos
03556030,Rua Alto do Parnaíba,Cidade Patriarca
02346080,Rua Professor Artur de Campos Gonçalves,Jardim Leonor Mendes de Barros
04424120,Avenida Doutor Torres Neto,Cidade Júlia
05018000,Rua Cayowaá,Perdizes
04367120,Praça Rosa de Amor,Vila Santa Catarina
02879180,Rua Cirilo Correia,Jardim Damasceno
02859020,Rua João Correa Castro,Jardim Brasília (Zona Norte)
03438100,Rua Betum,Vila Carrão
02467090,Rua Ilha Grande,Imirim
02347060,Rua Sena,Jardim Leonor Mendes de Barros
03404010,Rua Araci,Chácara Califórnia
04856480,Rua Rio Pimenta,Jardim Varginha
04142081,Avenida Bosque da Saúde,Saúde
04304010,Avenida Fagundes Filho,Vila Monte Alegre
08473870,Rua Atalaia,Jardim Pérola III
05785020,Rua Armando Erse Figueiredo,Jardim Campo Limpo
05883110,Rua Luiz Augusto Ferreira,Jardim das Palmeiras
05539080,Rua José Álvares Maciel,Jardim Adhemar de Barros
03169030,Rua Catarina Braida,Mooca
03618000,Rua São Quintino,Vila Marieta
02522000,Avenida Baruel,Vila Baruel
05795010,Rua Reverendo Peixoto da Silva,Jardim Rosana
04524021,Praça Mário Pontes Alves,Moema
08295460,Rua José Manuel Martins,Itaquera
04249000,Rua Izonzo,Sacomã
13104072,Rua Cardeal Arcoverde,Loteamento Caminhos de São Conrado (Sousas)
03174030,Rua Bebedouro,Quarta Parada
03978560,Rua José Barbera,Jardim São Roberto
02918170,Avenida Cônego José Salomon,Vila Portugal
02168010,Rua Joaquim Faustino,Jardim Andaraí
02067050,Rua João Batista Alves da Silva,Carandiru
03390090,Rua Cristóvão Jaques,Vila Primavera
03132020,Rua Fidélis Papini,Vila Prudente
03059023,Rua Fernandes Vieira,Belenzinho
08022190,Rua Angelina Falbo,Vila Barbosa
17280000,Temporário para Pederneiras,Pederneiras
02809070,Rua Calcedônea,Sítio Morro Grande
04551020,Travessa Feliciana Panieri Ricco,Vila Olímpia
04714030,Rua Vitorino de Morais,Chácara Santo Antônio (Zona Sul)
08490003,Rua do Cobre,Conjunto Residencial Prestes Maia
02473000,Rua Pousada de Saramagos,Vila Roque
03940090,Rua Nepomuceno,Jardim São Gabriel
05518020,Rua Jurupité,Jardim Trussardi
03128120,Rua Pedro Nascimento Ferrador,Alto da Mooca
08062750,Rua Nuvem Cigana,Jardim São Carlos (Zona Leste)
08230011,Rua Francisco Alarico Bérgamo,São Miguel Paulista
05847470,Rua Daniel Auber,Jardim Iracema
04679165,Rua João Faustino,Jardim dos Prados
04222020,Rua Xingu,Vila Independência
05887380,Travessa Julho de 1982,Parque Fernanda
02039000,Rua Álvaro de Abreu,Jardim São Paulo(Zona Norte)
05801030,Rua Charles Naufal,Jardim Mirante
02537117,Avenida Engenheiro Caetano Álvares,Imirim
05183270,Avenida Chica Luísa,Vila Chica Luisa
04470080,Rua Lúcio Dias da Fonseca,Jardim Apurá
04208050,Rua Silva Bueno,Ipiranga
03007000,Avenida Mercúrio,Brás
01321010,Rua Humaitá,Bela Vista
08382440,Rua dos Eucalíptos,Recanto Verde do Sol
03662080,Rua Papaia,Vila Ré
08230420,Rua Francisco Ferreira,Jardim Naufal
02847001,Rua Pirajibe,Vila Itaberaba
04370070,Travessa das Taquaras,Vila Santa Catarina
03088010,Rua Caetano de Campos,Vila Moreira
03164130,Rua Rocha Pita,Mooca
03634020,Largo do Rosário,Penha de França
01518000,Rua Justo Azambuja,Cambuci
08110340,Rua Francisco Vaz Moniz,Jardim Aimoré
08062320,Rua Olegário Maciel,Jardim São Carlos (Zona Leste)
05587050,Rua Francisco dos Santos,Jardim Rizzo
03165070,Rua Domingos de Oliveira,Mooca
05379150,Rua Professor Gilio Sattin,Rio Pequeno
02032001,Rua Urupiara,Santana
08280130,Rua Rodrigues Seixas,Cidade Líder
02992210,Estrada do Corredor,Parque Panamericano
08340250,Rua Cândido Xavier,Jardim Vila Carrão
01050050,Praça Desembargador Mário Pires,Centro
04145030,Rua Visconde de Inhaúma,Vila da Saúde
04163100,Rua Doutor Odilon,Vila Brasilina
01508020,Rua Pirapitingui,Liberdade
01425001,Rua Guarará,Jardim Paulista
03579000,Rua Bom Jesus do Monte,Jardim Marília
08160450,Rua Paraitinga,Vila Simone
03819030,Rua Giruá,Parque Císper
03509040,Rua Doutor José Paulo,Chácara Seis de Outubro
05707001,Rua Itapaiuna,Jardim Morumbi
04802080,Rua Cristina de Vasconcelos Ceccato,Jardim São Nicolau
08441320,Rua Tristão Gago,Vila Minerva
05777120,Rua Piemonte da Borborema,Vila Nova das Belezas
04020001,Rua Madre Cabrini,Vila Mariana
02029001,Avenida Zaki Narchi,Carandiru
04703002,Avenida Morumbi,Santo Amaro
04108000,Rua José do Patrocínio,Aclimação
04546002,Rua Casa do Ator,Vila Olímpia
03677210,Rua Gumercindo Gaby,Vila Caju
03579170,Rua Filippo Juvara,Jardim Marília
08120455,Praça Yerchanik Kissajikian,Itaim Paulista
04023070,Rua Manoel Cebrian Ferrer,Vila Clementino
05065120,Rua Batalha do Pirajá,Lapa de Baixo
04836130,Avenida Carlos Oberhuber,Jardim Floresta
02121020,Rua da Gávea,Vila Maria
02635080,Rua Doutor João Batista Pinto,Vila Pedra Branca
03758070,Rua Indalécio da Costa,Jardim Penha
04538030,Rua Capitão Guedes Portilho,Itaim Bibi
08310160,Rua Júlio César Moreira,Jardim Rodolfo Pirani
04180081,Avenida Nossa Senhora da Encarnação,Jardim Maria Estela
04917165,Avenida Guarapiranga,Jardim Japão
08142189,Rua Linária,Jardim Nélia
03502060,Praça Assadour Kassabian,Vila Aricanduva
05030040,Rua Nestor Vítor,Jardim Vera Cruz
08071040,Rua Engenheiro José Cruz de Oliveira,Parque Cruzeiro do Sul
03587070,Rua Antônio Lopes,Cidade Líder
03081012,Rua Tuiuti,Tatuapé
04106001,Rua Machado de Assis,Vila Mariana
08270085,Rua Santa Marcelina,Vila Carmosina
04428170,Travessa Embalo da Canção,Americanópolis
04455280,Rua Eugênio Portal,Vila Campo Grande
04040032,Rua Loefgren,Vila Clementino
04832120,Rua Royan,Jardim Kioto
05863060,Rua Erasmus Grasser,Jardim Imbé
04446080,Rua Cajubura,Jardim Sabará
03276017,Travessa Lino de Matos Gastão,Vila Margarida
08030730,Rua Rui Barbosa Lima,Vila Curuçá
05030010,Rua Engenheiro Francisco Azevedo,Jardim Vera Cruz
01532010,Rua Safira,Aclimação
03685010,Rua Campo das Pitangueiras,Jardim São Nicolau
03127070,Rua Ilansa,Vila Prudente
02222001,Rua Basílio Alves Morango,Parque Edu Chaves
02358010,Rua Boi Piguá,Jardim Daysy
04016070,Rua Jorge Chammas,Vila Mariana
02328161,Rua Davi,Jardim Palmares (Zona Norte)
03182010,Rua Antunes Maciel,Alto da Mooca
04624033,Rua Iguaçu,Vila Congonhas
03273530,Rua Manoel Maria Moraes,Vila Santa Clara
05871250,Rua Carnaubal,Jardim São Manoel
02245080,Rua Júlio Rodrigues Mendes,Parada Inglesa
03901010,Avenida dos Nacionalistas,Jardim Tango
08485350,Rua dos Cogumelos,Conjunto Habitacional Santa Etelvina II
02552121,Praça das Monções,Vila Bandeirantes
03874000,Avenida Capitão Anselmo Barcelos,Vila Rio Branco
02022130,Rua Vasco Cinquini,Vila Bianca
05819370,Rua Antônio Aranha,Jardim Santa Josefina
05386110,Avenida Gustavo Berthier,Rio Pequeno
03582090,Rua Guiomar de Ataliba Penteado,Jardim Brasília (Zona Leste)
04147040,Rua Araçoiaba,Vila do Bosque
03605040,Rua Valentina Piva,Penha de França
08391700,Rua Nina Simone,Jardim Nova São Paulo(São Rafael)
05859010,Rua Ana Elisa,Capão Redondo
03005010,Rua Fernandes Silva,Brás
08420081,Rua Shiono Katayama,Jardim Helena
03580160,Rua Condado do Norte,Jardim Fernandes
04079010,Alameda dos Guaiases,Indianópolis
04810050,Rua Aníbal dos Anjos Carvalho,Vila Santa Maria
04752090,Praça César Moreira,Santo Amaro
01141050,Rua Hélio de Barros,Parque Industrial Tomas Edson
04532013,Rua Bandeira Paulista,Itaim Bibi
04017090,Rua Carlos Vítor Cocozza,Vila Mariana
08473533,Rua Eduardo Reuter,Conjunto Habitacional Barro Branco II
01454011,Rua Professor Artur Ramos,Jardim Paulistano
08341200,Rua Antônio de Jaboatão,Parque Boa Esperança
04064032,Alameda dos Guaicanãs,Planalto Paulista
01452920,Avenida Brigadeiro Faria Lima 1059,Jardim Paulistano
05759290,Rua Roque de Mingo,Jardim Samara
08160142,Rua do Pombo-Correio,Jardim dos Ipês
02364691,Alameda dos Sabiás,Jardim Estrela D'alva
04208040,Rua Dom José Alarcon,Ipiranga
02615020,Rua Antônio Domingues Freitas,Vila Amélia
04147030,Rua Serranos,Vila do Bosque
06820450,Rua Augusto de Almeida Batista,Jardim Santa Emília
05596110,Rua Mário Zanini,Jardim Pinheiros
04256120,Rua Cândida Medeiros da Silva,Jardim Patente Novo
04931030,Rua Amaro Antônio de Araújo,Jardim Santa Margarida
05862150,Rua Antônio Ribeiro Pina,Jardim Lídia
04204002,Rua Costa Aguiar,Ipiranga
03546010,Rua Pedro Morcilla Filho,Cidade Patriarca
08370300,Rua João Antônio Xavier,Jardim São João (São Rafael)
02080030,Rua Sapienza,Vila Isolina Mazzei
08030760,Rua Raiz-Forte,Vila Curuçá
01251060,Rua Atalaia,Sumaré
03816150,Rua Entre-Folhas,Jardim Verônia
04846680,Rua Terezine,Jardim Ideal
01154060,Rua Mário de Andrade,Barra Funda
04472060,Rua Miguel,Jardim Novo Pantanal
02185030,Avenida José Maria Fernandes,Parque Novo Mundo
03516000,Rua Eugênia de Carvalho,Vila Matilde
08220281,Rua Santana do Agreste,Vila Campanela
04851002,Rua Henry Arthur Jones,Jardim Edi
04815370,Praça Automóvel Clube Paulista,Jardim Satélite
03650010,Rua Heloísa Camargo,Vila Esperança
05868660,Rua Marmeleira da Índia,Conjunto Habitacional Instituto Adventista
08472150,Rua Cachoeira Camaleão,Conjunto Habitacional Inácio Monteiro
08090750,Rua Boiçuaíba,Jardim Helena
02131080,Rua Gastão Madeira,Vila Maria Alta
08275400,Rua Paulo de Veras,Jardim Nossa Senhora do Carmo
03280050,Rua João Rodrigues Pires,Vila Carmem
03963030,Rua Maestro João Balan,Cidade São Mateus
08150545,Rua Frei Fabiano de Cristo,Jardim Senice
08070130,Rua Frei Fidélis Mota,Parque Cruzeiro do Sul
01034000,Rua Antônio de Godói,Centro
08215370,Rua Maryam Elias Ide,Itaquera
03158060,Rua Clotilde,Vila Celeste
01201010,Rua Doutor Carvalho de Mendonça,Campos Elíseos
02731100,Praça Pastor Enoque Barbosa Medrado,Vila Albertina
03888000,Rua Conceição do Formoso,Jardim Cotinha
08121009,Rua Carlos Maria Alvear,Jardim São Luís (Zona Leste)
04580040,Rua Oscar Gomes Cardim,Vila Cordeiro
01156050,Avenida Doutor Adolpho Pinto,Barra Funda
04415160,Rua Calamar,Vila Capela
05361040,Rua Professor Antônio Filgueiras de Lima,Rio Pequeno
08285170,Rua Roque Palmieri,Cidade Líder
05888050,Avenida Doutor Salvador Rocco,Parque Fernanda
02327190,Rua Santa Inês,Jardim Portal I e II
02221060,Rua Doutor Luís Maffei,Jardim Brasil (Zona Norte)
02318000,Avenida Antonelo da Messina,Sítio do Piqueri
05791270,Rua Vinho do Porto,Jardim Mitsutani
08310310,Rua Armando Carreira,Jardim Rodolfo Pirani
05508070,Avenida Professor Almeida Prado,Butantã
03721000,Rua Doutor Arnaldo de Morais,Cangaíba
05821120,Rua Pedro Correia da Silva,Chácara Santana
03382167,Rua Joaquim Peixoto,Chácara Belenzinho
05871320,Rua Maparajuba,Jardim São Manoel
08061230,Rua Flor de Índio,Jardim Pedro José Nunes
04849350,Rua São Gabriel,Chácara Gaivotas
05777090,Rua José Antunes Maciel,Vila Nova das Belezas
01329030,Rua dos Alemães,Morro dos Ingleses
03823130,Rua Manuelino Teixeira,Parque Císper
04009010,Rua Tamoio,Vila Mariana
01140110,Rua Capitão-mor Gonçalo Monteiro,Várzea da Barra Funda
30690000,Rua Aderbal Rodrigues Vaz,Lindéia (Barreiro)
04153040,Rua Professor Roberto Mange,Vila Santo Estéfano
04104901,Rua Correia Dias 337,Paraíso
01401001,Avenida Brigadeiro Luís Antônio,Jardim Paulista
08440530,Rua Izolino Maciel da Silva,Jardim Lajeado
04042031,Avenida Doutor Altino Arantes,Vila Clementino
05574410,Travessa Cachoeira das Flores,Conjunto Promorar Raposo Tavares
04344050,Rua dos Curupiás,Jabaquara
02540110,Rua Fortunato Minozzi,Imirim
04180080,Avenida Nossa Senhora da Encarnação,Jardim Maria Estela
04058021,Avenida Odila,Planalto Paulista
05783170,Rua Monforte de Lemos,Jardim Umuarama
02166020,Rua Walter Ribeiro Novaes,Jardim Andaraí
04433050,Rua Oscar de Barros,Jardim Itapura
30610010,Avenida Catulo da Paixão Cearense,Indústrias I (Barreiro)
08490670,Rua Camassandi,Vila Paulista II
04862030,Rua Santa Cecília,Parque Santa Cecília (Grajaú)
01201020,Rua General Júlio Marcondes Salgado,Campos Elíseos
02936110,Rua Luís Carneiro,Vila Pereira Barreto
08040600,Avenida Maria Santana,Jardim Casa Pintada
04675150,Rua Adão Norberto de Andrade,Jurubatuba
05788370,Rua Serra da Esperança,Jardim Bom Refúgio
03974190,Rua Fernando Pinheiro,Jardim Santa Adélia
03585080,Rua Gapuicipó,Jardim Brasília (Zona Leste)
03804060,Rua Guilherme de Oliveira Sá,Parque Boturussu
01227200,Avenida Angélica,Consolação
04583080,Rua Rebello Júnior,Vila Cordeiro
03544110,Rua Paraisópolis,Cidade Patriarca
03910070,Rua Antônio Ferraciolli,Jardim Catarina
04733100,Avenida Adolfo Pinheiro,Santo Amaro
04313200,Rua Botelho,Vila Guarani (Z Sul)
04502000,Avenida República do Líbano,Ibirapuera
04284015,Praça Monte Azul Paulista,Vila Moinho Velho
03908055,Avenida Arraias do Araguaia,Jardim Novo Carrão
02067070,Praça Oscar da Silva,Vila Guilherme
08240740,Rua Laurentino Xavier dos Santos,Vila Progresso (Zona Leste)
04185060,Rua Francisco de Torres,Vila Liviero
01318001,Avenida Brigadeiro Luís Antônio,Bela Vista
01302030,Viaduto Okuhara Koei,Consolação
02450001,Alameda Afonso Schmidt,Santa Teresinha
05830330,Rua Pedro Durante,Jardim Jussara
03239000,Avenida São Lucas,Parque São Lucas
04530020,Rua Paula Oliveira,Itaim Bibi
08320420,Rua Fernando Lourenço,Parque São Rafael
01512050,Rua Oliveira Monteiro,Liberdade
02925060,Largo da Matriz Velha,Freguesia do Ó
04026002,Rua Doutor Bacelar,Vila Clementino
05716130,Rua Ivora,Vila Andrade
04419140,Praça Tito Pacheco,Jardim Miriam
03819060,Rua Gandu,Parque Císper
04762001,Avenida Guarapiranga,Vila Socorro
05437020,Rua Werner Sack,Sumarezinho
05512300,Avenida Professor Francisco Morato,Butantã
04823010,Rua Professor Roldão de Barros,Jardim Mália I
04383070,Rua Antônio Covello,Jardim Jabaquara
04419000,Rua Dias de Almeida,Jardim Miriam
04741001,Rua Conde de Itu,Jardim Santo Amaro
03968130,Praça José Vergílio Nogueira Versoni,Jardim Colonial
04635041,Rua Maratona,Vila Alexandria
05038090,Rua Hugo D'Antola,Lapa
04403060,Rua Francisco Álvares,Vila Joaniza
05514080,Rua Professora Elisabete Rolim,Instituto de Previdência
04446180,Rua Curiá,Jardim Sabará
02046020,Rua Ana Plácido,Jardim São Paulo(Zona Norte)
03582020,Rua Henrique Rodrigues Peres,Jardim Brasília (Zona Leste)
03928040,Rua Mário Tarenghi,Conjunto Habitacional Teotonio Vilela
08440170,Rua Frei José da Natividade,Jardim do Campo
01001000,Praça da Sé,Sé
03927000,Rua Rio das Flores,Conjunto Promorar Sapopemba
08142760,Rua Zezé Macedo,Jardim Nélia
04847020,Rua Carlos Taylor,Parque Novo Grajaú
04369030,Rua Rodrigo Júnior,Vila Santa Catarina
13157402,Rua dos Sorocabanos,Jardim Alvorada
05009000,Rua Bartira,Perdizes
03921120,Rua Katucha,Jardim Iva
04611020,Rua Conde de Ipanema,Parque Colonial
04250040,Rua Professor Raul Pederneiras,Vila Marte
04824110,Rua Maria França Breda,Parque das Árvores
08120030,Rua Manuel de Castilho,Itaim Paulista
03591070,Rua Padre Antônio Soler,Conjunto Habitacional Padre Manoel de Paiva
08330470,Rua Sagitário,Cidade Satélite Santa Bárbara
03820030,Rua Bujaru,Vila Sílvia
02181100,Rua Carmina Ianetta Fanganiello,Parque Novo Mundo
05112000,Via Anhangüera,Parque São Domingos
02670080,Rua Eugênio de Castro,Vila Dionisia
05549200,Rua Jerônimo Fernandes,Jardim das Esmeraldas
03622000,Rua Mandu,Vila Granada
03875010,Rua Iabiçu-Guaçu,Vila Rio Branco
04649050,Rua Sebastião Andrade Bonani,Jardim Prudência
04856140,Rua Doutor Juvenal Hudson Ferreira,Jardim Myrna
04829430,Rua Luísa Roldan,Jardim das Imbuias
03681040,Rua Luís Caminha e Menezes,Burgo Paulista
04177100,Avenida dos Pedrosos,Parque Bristol
05350000,Avenida Escola Politécnica,Rio Pequeno
04696080,Rua Rosa Galvão Bueno Trigueirinho,Jurubatuba
04679350,Rua Porfírio do Nascimento,Vila Romano
02820030,Rua Flor do Lírio,Vila Brasilândia
01007070,Largo Fernando Gallego,Centro
05203420,Rua Alelu,Vila Fanton
01125000,Rua da Graça,Bom Retiro
04385040,Rua Vicente Leite,Jardim Itacolomi
03552020,Rua Porto da Folha,Cidade Patriarca
02836110,Rua Edgar Joris,Vila Serralheiro
02033000,Avenida General Ataliba Leonel,Santana
02402400,Rua Voluntários da Pátria,Santana
04446090,Rua Nuputira,Jardim Sabará
02540010,Rua Antônio de Souza Costa,Imirim
05187450,Rua Pedro Valdívia,Jardim Ipanema (Zona Oeste)
04914030,Rua Benedita Andreatti Alcântara,Jardim Figueira Grande
05778000,Rua Primaveras de Amor,Parque Arariba
03819070,Rua Senges,Parque Císper
05302050,Rua Campo Grande,Vila Hamburguesa
04742020,Rua Baxiúva,Santo Amaro
04653150,Rua Raul Marques Marinho,Vila Inglesa
03071070,Rua Luís do Paço,Tatuapé
01420000,Alameda Jaú,Jardim Paulista
05014000,Rua Monte Alegre,Perdizes
05877120,Rua Afonso Africano,Jardim Guarujá
02255060,Praça Tamotsu Yamamura,Vila Nivi
03758010,Rua Bolivar Ribeiro Boaventura,Jardim Penha
06765312,Rua Senador Teotônio Vilela,Jardim Nova Esperança
03738090,Rua Jacinto de Lima Santos,Vila Libanesa
01332908,Alameda Rio Claro 273,Bela Vista
04429210,Rua Jean Gabriel Villin,Americanópolis
04813010,Rua Romanceiro,Jardim Colonial
05664015,Rua da Independência,Paraisópolis
02912030,Rua Miguel Teles,Piqueri
05010030,Rua Linda Ferreira da Rosa,Perdizes
04223040,Rua Abaetetuba,Vila Independência
03223010,Rua São José da Tapera,Jardim Independência
03663010,Rua Impata,Vila Ré
08215690,Rua Sovrê,Itaquera
04714001,Rua Antônio das Chagas,Chácara Santo Antônio (Zona Sul)
08235810,Rua Eduardo Dalbono,Parque Guarani
04286080,Rua Monsenhor Du Dreneuf,Vila Moinho Velho
04438050,Rua José Prado,Vila do Castelo
01046902,Avenida São Luís 43,Centro
02675000,Rua Antônio Lopes de Barros,Jardim Peri
04941030,Rua Marsala,Parque Bologne
05563050,Rua José Fioravante,Jardim Raposo Tavares
05305000,Avenida Imperatriz Leopoldina,Vila Leopoldina
03120001,Rua Visconde de Inhomerim,Mooca
04367010,Rua Latif Fakhouri,Vila Santa Catarina
02205010,Rua Ida Boschetti,Vila Medeiros
05060000,Rua Pio XI,Alto da Lapa
05417000,Rua Mourato Coelho,Pinheiros
04631011,Rua Tapes,Jardim Aeroporto
03337010,Rua Professor João de Oliveira Torres,Jardim Anália Franco
03573020,Rua Dunalia,Jardim Santa Maria
03444020,Rua Alumínio,Vila Nova Manchester
03977399,Rua André Thevet,Fazenda da Juta
03405110,Avenida Conde de Frontin,Chácara Califórnia
01247020,Rua Itatinga,Pacaembu
05432000,Rua Fidalga,Pinheiros
08451360,Rua João de Arraiolo,Lajeado
04866200,Avenida Almeida,Jardim Almeida
02254000,Rua Capricho,Vila Nivi
03461040,Rua Correia de Faria,Jardim Vila Formosa
08248020,Praça Barra do Figueiredo,Parada XV de Novembro
04753905,Rua Barão do Rio Branco 555,Santo Amaro
02764060,Rua Coronel Marinho Sobrinho,Parque Itaberaba
04823090,Rua Domingos Tarroso,Vila Rubi
05620020,Rua Campos,Vila Inah
04403110,Avenida Gaspar de Brito,Vila Marari
08225370,Rua Camuengo,Cidade Antônio Estevão de Carvalho
05526050,Praça Professor Aureliano Pimentel,Jardim Jussara
02047050,Travessa Casalbuono,Vila Guilherme
03952080,Rua Silva Ortiz,Jardim Nove de Julho
